Distance,Mcdonalcs-n(S),Mcdonalcs-ratio
0.1,13,0.21666666666666667
0.2,22,0.36666666666666664
0.3,32,0.5333333333333333
0.4,36,0.6
0.5,42,0.7
0.6,48,0.8
0.7,50,0.8333333333333334
0.8,50,0.8333333333333334
0.9,52,0.8666666666666667
1.0,54,0.9
1.1,55,0.9166666666666666
1.2,57,0.95
1.3,58,0.9666666666666667
1.4,58,0.9666666666666667
1.5,59,0.9833333333333333

Distance,Subway-n(S),Subway-ratio
0.1,3,0.06818181818181818
0.2,13,0.29545454545454547
0.3,22,0.5
0.4,31,0.7045454545454546
0.5,33,0.75
0.6,37,0.8409090909090909
0.7,40,0.9090909090909091
0.8,40,0.9090909090909091
0.9,40,0.9090909090909091
1.0,40,0.9090909090909091
1.1,40,0.9090909090909091
1.2,42,0.9545454545454546
1.3,42,0.9545454545454546
1.4,42,0.9545454545454546
1.5,43,0.9772727272727273
